Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Shardul Sapkota,Stanford University,5,3,71,71,Stanford University,male,1
Michael Motlhabi,Centre for Scientific and Industrial Research,4,3,71,26,,male,1
Adélaïde Genay,"Post-doctoral researcher, University of Melbourne/Monash University",2,1,71,71,University of Melbourne/Monash University,female,0
Running Zhao,The University of Hong Kong,3,3,71,71,The University of Hong Kong,male,1
Oliver Nowak,RWTH Aachen University,3,1,71,71,RWTH Aachen University,male,1
Fatemeh Eskandari,Shiraz university,3,2,70,28,,male,1
Nada Attar,Assistant Professor - San Jose State University,5,2,70,47,,male,1
Adriana Carolina Camacho,The University of Texas at El Paso,5,1,70,47,The University of Texas,male,1
Umang Mathur,"San Francisco State University, University of Pune",3,2,70,68,San Francisco State University,female,0
Cameron Teoh,"Lecturer of Psychology, HELP University",5,3,70,32,,male,1
Ebrahim Babaei,University of Melbourne,3,3,70,70,University of Melbourne,male,1
Chandrika K R,ABB Corporate Research,5,3,70,61,,male,1
Blaine Lewis,University of Toronto,5,3,70,69,University of Toronto,female,0
Matthias Schmidmaier,LMU Munich,3,1,70,63,,male,1
Jia-Wei Lin,National Taiwan University,2,1,70,59,National Taiwan University,female,0
Nikhita Joshi,"PhD Student, University of Waterloo",3,2,70,70,University of Waterloo,female,0
Rubiela CARRILLO ROZO,"Université de Lyon, ENS de Lyon",4,3,70,66,,male,1
Ville Vartiainen,Unknown affiliation,2,1,70,70,,female,0
Mark-Jan Bludau,Research associate at UCLAB (FH Potsdam) and guest professor at KH-Berlin Weißensee.,4,3,70,68,,female,0
Sami Alperen Akgun,Robotics Engineer,3,2,70,70,,male,1
Tee Chuanromanee,"Human Factors Engineer, Southwest Airlines",4,2,70,70,,male,1
Federica Caruso,Post-doc research fellow @ DISIM - Università degli Studi dell'Aquila,5,1,70,70,,male,1
"Jiahao ""Nick"" Li",UCLA,4,2,70,70,,female,0
Minas Pergantis,"PostDoc, Department of Audio & Visual Arts, Ionian University",4,1,70,70,Ionian University,female,0
Elyse D. Z. Chase,"Postdoctoral Fellow, Rice University",5,3,70,55,Rice University,male,1
Riccardo Bovo,Imperial College,5,2,70,70,Imperial College,male,1
André Schlemmer,"Ph.D. in Information Systems Design at the Federal University of Paraná, Brazil",5,1,70,31,the Federal University of Paraná,female,0
Andy Kong,Independent research,4,3,70,70,,male,1
Yuning Qiu,University of Texas at Dallas,5,3,70,70,University of Texas,female,0
Velvet Spors,"Post-Doctoral Researcher at Gamification Group, Tampere University",5,3,70,70,Tampere University,female,0
Mina Huh,UT Austin,4,4,70,70,,female,0
Siyou Pei,"PhD Candidate, University of California Los Angeles",4,2,70,70,University of California Los Angeles,female,0
Teerapaun Tanprasert,"PhD Student in Computer Science, University of British Columbia",3,3,70,70,University of British Columbia,male,1
Hui Zhu,"PhD Student, KTH Royal Institute of Technology",4,2,70,70,KTH Royal Institute of Technology,female,0
Brigid A. Otoo,Computer Information Systems and Data Analytics Faculty,3,1,70,70,Data Analytics Faculty,female,0
Taylor Tabb,Current: Tabb Studio. Previously: Accenture Labs.,4,2,70,70,,female,0
Yuqi Huang,"Graduate Student, University of Washington & Tsinghua University",2,1,70,70,University of Washington & Tsinghua University,male,1
Jaime Rivera,Illinois Institute of Technology,4,3,70,39,Illinois Institute of Technology,male,1
Jeffery Hoehl,University of Colorado Boulder,4,3,69,29,University of Colorado,male,1
Ángela Villareal Freire,"Professor of Systems Engineering, Universidad Nacional Abierta y a Distancia",5,2,69,66,,male,1
Aditya Rizki Yudiantika,Universitas Amikom Yogyakarta,3,2,69,36,,male,1
Melissa A. Gallagher,"User Experience Researcher, Google",5,1,69,26,,female,0
Jack Jamieson,NTT Social Informatics Laboratories,5,3,69,60,,male,1
Allan de Godoi Contessoto,PhD student in São Paulo University,5,3,69,63,São Paulo University,male,1
Bruno Giesteira,"University of Porto, FBAUP, Design Department and INESC TEC",4,0,69,46,University of Porto,female,0
Alja Isakovic,iAlja,3,1,69,12,,female,0
Jhim Verame,University of Southampton,4,3,69,54,University of Southampton,male,1
Srishti Gupta,Pennsylvania State University,4,2,69,67,Pennsylvania State University,male,1
Aitziber Iglesias,Devo,5,3,69,68,,male,1
Kevin Chow,"PhD Candidate, Computer Science, University of British Columbia",3,2,69,69,University of British Columbia,male,1
Ti-Chung Cheng,"University of Illinois at Urbana-Champaign, PhD Student",2,2,69,67,University of Illinois,male,1
Zihan Gao,Communication University of China,6,4,69,69,Communication University of China,female,0
jingoog kim,"Visiting Faculty, Department of Design, Loyola University New Orleans",5,2,69,69,"Faculty, Department of Design",female,0
Ahed Aladwan,Ph.D in HCI,4,4,69,17,,male,1
Tobias Wagner,"Research Associate, Institute of Media Informatics, Ulm University",4,3,69,69,Institute of Media Informatics,female,0
Neeraj Chatlani,"PhD Student, University of Central Florida",4,4,69,69,University of Central Florida,male,1
Katherine Wang,University College London,4,2,69,69,University College,male,1
Maurice Cordts,"Student, Ulm University",3,2,69,69,Ulm University,female,0
SURIAWATI SUPARJOH,Universiti Tun Hussein Onn Malaysia,5,3,69,60,,male,1
Garvin Goepel,"Lecturer, The University of Hong Kong",5,3,69,69,The University of Hong Kong,male,1
Ellen (Ellie) S. Wagner,University of Rochester,5,2,69,66,University of Rochester,male,1
Mahwish Yousaf,University of Science and Technology of china,3,2,69,69,University of Science and Technology of china,male,1
Sinan alsheikh,IBM IT Architect,4,3,68,40,,female,0
Nitesh Bhatia,UK Atomic Energy Authority,3,1,68,62,,female,0
Dr. Fredrick Kiwuwa Lugya,"University Librarian, Busitema University",4,2,68,42,University Librarian,male,1
Adhi Wicaksono,Senior Product Designer,3,3,68,59,,male,1
Hashiroh Hussain,"Institut Pendidikan Guru Kampus Sultan Abdul Halim, Sungai petani, Kedah",5,3,68,59,,male,1
Cameron Steer,University of Bath,5,3,68,60,University of Bath,male,1
Johann Wentzel,University of Waterloo,3,2,68,65,University of Waterloo,female,0
Michelle Kaczmarek,University of British Columbia,4,3,68,57,University of British Columbia,female,0
Wint Yee Hnin,Washington University in St. Louis,4,2,68,55,Washington University,male,1
Adrian Ramcharitar,Carleton University,2,2,68,58,Carleton University,female,0
Diogenis Alexandrakis,PhD,4,1,68,68,,male,1
Mintra Ruensuk,Ulsan National Institute of Science and Technology,4,3,68,64,Ulsan National Institute of Science and Technology,female,0
Tareq Al-Zu'bi,"Al-Balqa Applied University ,Department of Computer Science",3,3,68,68,Al-Balqa Applied University,male,1
Brita Munsinger,Trinity University,4,4,68,45,Trinity University,female,0
Raju Maharjan,University of Oklahoma,6,4,68,67,University of Oklahoma,female,0
Chanho Park,The University of Tokyo,6,4,68,65,The University of Tokyo,male,1
Viktorija Paneva,University of the Bundeswehr Munich,4,4,68,68,University of the Bundeswehr Munich,female,0
Yeliz Yücel,Galatasaray University,2,1,68,68,Galatasaray University,female,0
Leonardo Marques,"PhD Student, Federal University of Amazonas",4,2,68,66,Federal University,male,1
Hannah Twigg-Smith,"PhD Candidate in Human Centered Design and Engineering, University of Washington",3,2,68,68,University of Washington,female,0
Guoyang Zhou (周国阳),Purdue University,5,2,68,67,Purdue University,male,1
HASSAN ADAMU,"Department of Computer Science, Binyaminu Usman Polytechnic Hadejia",5,1,68,66,Binyaminu Usman Polytechnic Hadejia,female,0
Boyin Yang,"PhD Student, University of Cambridge",2,2,68,67,University of Cambridge,male,1
G S Rajshekar Reddy,"University of Colorado, Boulder",6,2,68,68,University of Colorado,male,1
Joanne Lo,Carnegie Mellon University,2,2,68,67,Carnegie Mellon University,male,1
Zhou Xingchen,Beijing Normal University,4,2,68,68,Beijing Normal University,male,1
RUDI HARTONO,Universitas Perjuangan Tasikmalaya,6,2,68,68,,male,1
Hongwei Niu,Beijing Institute of Technology,4,2,68,63,Beijing Institute of Technology,female,0
Hervé St-Louis,Université du Québec à Chicoutimi,4,1,68,63,,male,1
Alexander Achberger,Mercedes-Benz AG,4,2,68,64,,male,1
Meiyan Xu,"Lecturer, School of computer science, Minnan Normal University",3,1,68,66,Minnan Normal University,male,1
Alex Leitch,"Lecturer, UMD-CP",4,3,68,58,,male,1
Yue Zhao,Shandong University,2,2,68,68,Shandong University,female,0
Pavan Kumar,Google,2,2,67,62,,male,1
Francesco Epifania,Università degli Studi di Milano,4,1,67,23,,female,0
"Javier Quevedo Fernández, PhD",Eindhoven University of Technology,5,2,67,18,Eindhoven University of Technology,male,1
Zhe Liu,"PhD's Candidate, University of British Columbia",4,3,67,34,University of British Columbia,female,0
TAN Liang,Guangzhou Academy of Fine Arts,5,2,67,38,Guangzhou Academy of Fine Arts,male,1
Franci Suni-Lopez,Universidad de Lima,3,2,67,60,,male,1
Paula M. Kammler,DFKI,2,1,67,43,,male,1
Andrei Garcia,"Master Degree Student at PUCRS, Faculdade de Informatica Porto Alegre, Brazil",3,2,67,57,,male,1
Jürgen Hahn,"Media Informatics Group, University of Regensburg",2,2,67,54,University of Regensburg,male,1
Minghao Cai,University of Alberta,4,4,67,61,University of Alberta,female,0
Panayu Keelawat,UC San Diego,3,3,67,67,,female,0
Nels Numan,University College London,5,3,67,67,University College,male,1
Atsuki Ikeda,Tokyo Institute of Technology,4,4,67,67,Tokyo Institute of Technology,male,1
Zipeng Liu,Beihang University,5,3,67,59,Beihang University,male,1
Jana Franceska Funke,Universität Ulm,1,1,67,67,,female,0
Nayana Carneiro,Universidade Federal do Ceará,5,2,67,63,,male,1
Nour Halabi,Ontario Tech University,3,2,67,67,Ontario Tech University,male,1
Junyu LIU,"Computer Science, Brown University",6,3,67,67,Brown University,female,0
Ko Watanabe,DFKI GmbH & RPTU Kaiserslautern-Landau,5,2,67,65,,female,0
Bill Guo,"Human Computer Interaction Institution, Carnegie Mellon University",4,3,67,67,Carnegie Mellon University,male,1
Hao Quan,"Northeastern University & Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",3,2,67,67,Northeastern University & Shenzhen Institute of Advanced Technology,female,0
Ts. Dr. Nurulisma Ismail,"Senior Lecturer, Universiti Malaysia Perlis",4,2,66,47,,male,1
Weaam ALRashed,"Teaching Assistant at Software Engineering Department, King Saud University",3,3,66,52,King Saud University,female,0
Jiajun (Robin) Wei,Intuitive Surgical (da Vinci Surgical System),4,2,66,57,,female,0
An-Che Chen,Ming Chi University of Technology,4,3,66,19,Ming Chi University of Technology,female,0
Haiyue Yuan,"Research Associate, Institute of Cyber Security for Society, University of Kent",4,2,66,50,Institute of Cyber Security for Society,female,0
Zainab Hameed Alfayez,Lecturer in information technology university of Basrah,4,2,66,66,,female,0
Xinyu Yang,Beijing University of Posts and Telecommunications,3,1,66,59,Beijing University of Posts and Telecommunications,female,0
Marius Braun,"City, University of London",5,3,66,32,University of London,male,1
Suraj Sood,LB Tutoring Academy,5,1,66,57,LB Tutoring Academy,female,0
Farnaz Irannejad Bisafar,Northeastern University,5,5,66,59,Northeastern University,female,0
Eliana Alves Moreira,Federal Institute of São Paulo,6,1,66,57,Federal Institute of São,male,1
Damon Crockett,Yale University,3,2,66,47,Yale University,male,1
Daniel Arthur,University of Sussex,2,2,66,61,University of Sussex,female,0
Ai Nakajima,CSC - TIETEEN TIETOTEKNIIKAN KESKUS OY,5,2,66,34,,male,1
Marcelo Glasberg,Unknown affiliation,2,1,66,28,,male,1
Sinarring Azi Laga,"Informatika, Universitas Hayam Wuruk Perbanas",5,2,66,66,,male,1
Aleksandr Shirokov,Rutgers University,5,1,66,57,Rutgers University,male,1
J. Trevor D'Arcey,"University of California, Santa Cruz",5,4,66,53,University of California,male,1
Jason Brier,Purdue University,2,2,66,64,Purdue University,male,1
Shohei Katakura,Hasso Plattner Institut,5,3,66,66,,male,1
Junhan Kong,University of Washington,4,3,66,66,University of Washington,male,1
Frank Wencheng Liu,Arizona State University,4,3,66,66,Arizona State University,female,0
Shivani Shirolkar,NC State University,3,2,66,66,NC State University,male,1
Kylie Davidson,Virginia Tech,5,2,66,66,,female,0
Hassan Hussein,"Data Science and Digital Libraries group at TIB- at Leibniz University, Hannover",3,2,66,66,Leibniz University,male,1
Alexander Ivanov,University of Calgary,4,3,66,64,University of Calgary,female,0
Bo-Yu Chen,National Taiwan University,5,4,66,66,National Taiwan University,female,0
khadijeh mahdikhanlou,PhD,3,2,66,53,,male,1
Ziru Chen,The Ohio State University,3,1,66,66,The Ohio State University,female,0
Claudia Negri-Ribalta,Université Paris 1 Panthéon-Sorbonne,5,2,66,66,,male,1
Yifan Song,University of Illinois Urbana-Champaign,2,1,66,66,University of Illinois Urbana-Champaign,female,0
Yi Zhe Ang,Visual & Data Journalist,1,1,66,66,,male,1
Fraser McKay,Unknown affiliation,3,2,65,30,,female,0
Jessica Tsimeris,Australian National University,5,2,65,25,Australian National University,male,1
Setareh Aghel Manesh,University of Calgary,3,2,65,37,University of Calgary,female,0
Sahba Zojaji,PhD fellow at KTH Royal Institute of Technology,5,2,65,63,KTH Royal Institute of Technology,male,1
Sadia Rubab,"Lecturer Computer Science, COMSATS Institute of Information Technology",3,1,65,35,COMSATS Institute of Information Technology,male,1
Thomas Constant,"CNAM, Cédric",3,2,65,61,,female,0
João de Sousa e Silva,"PhD, Universidade de Trás-os-Montes; Researcher @ INESC-TEC",5,3,65,47,,female,0
Adama Victor,Lecturer I (FUT Minna),4,3,65,49,,male,1
Luis Ferreira,"NOVA LINCS, Universidade da Madeira",5,2,65,60,,male,1
Akihisa Shitara,"Graduate School of Library, Information and Media Studies, University of Tsukuba",5,1,65,58,"Graduate School of Library, Information and Media Studies",male,1
Takafumi HIGASHI,東京電機大学,5,1,65,49,,female,0
Robert P Gauthier,University of Waterloo,3,3,65,64,University of Waterloo,male,1
Valerio Colonnese,"Assegnista Ricercatore, ICAR CNR di Napoli",3,3,65,59,,female,0
Mehrdad Bahrini,"Digital Media Lab, University of Bremen",5,3,65,65,University of Bremen,female,0
Myke C. Cohen,Arizona State University,5,1,65,65,Arizona State University,male,1
Ayaka Ishii,Ochanomizu University,5,1,65,65,Ochanomizu University,female,0
Sam Van Damme,"PhD Researcher @ IDLab, Ghent University/imec, eMedia Research Lab, KU Leuven & FWO",5,2,65,65,Ghent University,female,0
Diogo Branco,"NeuroRehabLab, ARDITI, Madeira N-LINCS",5,3,65,65,,female,0
Zhenning Zhang,Nanjing University of Science and Technology,3,2,65,65,Nanjing University of Science and Technology,female,0
Ava Bartolome,University of Minnesota,4,3,65,65,University of Minnesota,male,1
Justin Koufopoulos,Unknown affiliation,2,2,65,49,,male,1
K. J. Kevin Feng,University of Washington,5,1,65,65,University of Washington,female,0
Faustino Marañón,Pontificia Universidad Católica de Chile,2,2,65,62,,female,0
Ziwei Liu,University of Chicago,3,3,65,65,University of Chicago,female,0
Jihan Ryu,"Psychiatrist, Hamilton-Madison House",3,3,65,43,,female,0
Danny Schott,"Research Scientist, University of Magdeburg",4,2,65,65,University of Magdeburg,male,1
Matěj Lang,"PhD student, Masaryk University",2,1,65,65,Masaryk University,male,1
Alessandro Gnoli,Google,4,4,64,17,,female,0
Junwoo Yoo,"Doosan Enerbility, MS in Sungkyunkwan University",3,1,64,43,Sungkyunkwan University,male,1
Dr Polina Zioga SFHEA,Director of Interactive Filmmaking Lab,5,3,64,46,,male,1
Nicola Masotti,University of Bologna,4,3,64,47,University of Bologna,female,0
Yohan Moon,Creatory,3,2,64,51,,female,0
Arindra Das,Researcher,2,2,64,62,,male,1
Mustafa Esengün,Istanbul Technical University,4,2,64,54,Istanbul Technical University,female,0
Sung-A Jang,Carnegie Mellon University,4,4,64,46,Carnegie Mellon University,female,0
Otao Kazuki,University of Tsukuba,4,3,64,50,University of Tsukuba,male,1
Armel Ayimdji Tekemetieu,McGill University,5,2,64,45,McGill University,female,0
Ya-Fang Lin,Penn State University,4,3,64,59,Penn State University,male,1
Jon Womack,Georgia Institute of Technology,4,4,64,64,Georgia Institute of Technology,male,1
Xavier Tan,Phd Candidate with Alibaba-NTU JRI,2,2,64,64,,male,1
MinYoung Yoo,Simon Fraser University,4,2,64,64,Simon Fraser University,female,0
Masiath Mubassira,Lecturer,3,2,64,64,,male,1
Adrita Anika,"Graduate Student, Texas A&M University",4,2,64,63,Texas A&M University,female,0
Wenqi Li,Peking University,2,1,64,56,Peking University,male,1
Winda Angela,Statistics Indonesia,2,1,64,60,,female,0
Terrell Glenn,Doctoral Candidate in Mechanical Engineering,3,2,64,63,,female,0
Matt Gottsacker,University of Central Florida,4,2,64,64,University of Central Florida,female,0
Luisa Theelke,Friedrich-Alexander University Erlangen-Nürnberg,3,1,64,64,Friedrich-Alexander University,female,0
Jiayuan Dong,Virginia Tech,4,2,64,63,,female,0
Saeed Bakhshmand,Musashi Americas,4,2,63,27,,male,1
Abhishek Shrivastava,"Assistant Professor, Department of Design, Indian Institute of Technology Guwahati",5,2,63,55,Indian Institute of Technology Guwahati,male,1
CHAN SIEW LEE,"PhD of Visual Informatics, TheNational University of Malaysia",6,2,63,12,TheNational University of Malaysia,male,1
Arindam Das,"Researcher, Toronto, Ontario, Canada",4,1,63,16,,female,0
Ambreen Zaman,"Lecturer of Computer Science, Stamford University Bangladesh",5,2,63,38,Stamford University,male,1
Daniel Scarafoni,"Graduate Student, Georgia Institute of Technology",5,4,63,54,Georgia Institute of Technology,male,1
Zan Azma Nasruddin,"Lecturer, UiTM",5,2,63,58,,male,1
Christianne Rooke,"Human Computer Interaction Lab, University of Saskatchewan",1,1,63,48,University of Saskatchewan,female,0
Nethmini T. Weerawarna,University of Colombo,4,2,63,47,University of Colombo,female,0
Fabrice Roublot,WorkStreams,4,3,63,12,,female,0
Warda Ruheen Bristi,"Research Associate, Bangladesh Institute of Governance and Management",3,2,63,59,Bangladesh Institute of Governance and Management,female,0
Cameron Merrill,University of Illinois at Urbana-Champaign,3,2,63,63,University of Illinois,female,0
Dino Rajah,Education Manager & Research Fellow,5,2,63,44,,female,0
Divya Ramesh,"University of Michigan, Ann Arbor",3,3,63,63,University of Michigan,female,0
Colton Botta,University of Cambridge,1,1,63,63,University of Cambridge,female,0
Dinan Yulianto,Universitas Ahmad Dahlan,6,3,63,59,,male,1
Alemu Kumilachew Tegegne,"Bahir Dar Instituite of Technology(BiT), Bahir Dar University",4,3,63,57,Bahir Dar University,female,0
Kazuma Takada,RA at SonyCSL / PhD student at OIST,4,2,63,63,,male,1
Qile Wang,University of Delaware,3,1,63,63,University of Delaware,female,0
Clara Bove,"PhD, CNRS, Lip6, Sorbonne Université,",3,1,63,63,,female,0
Han L. Han,Université Paris-Saclay,5,4,63,63,,female,0
Eudis Oliveira Teixeira,Professor of Instituto Federal Sertão Pernambucano,5,3,62,23,,female,0
Xiangdong LI,Zhejiang University,4,2,62,49,Zhejiang University,female,0
Perrine Ruer,Unknown affiliation,3,3,62,54,,female,0
Yasir Jan,Murdoch University,5,4,62,28,Murdoch University,female,0
Jasni Ahmad,Mr.,5,3,62,24,,female,0
Pallavi Mohan,NVIDIA,3,2,62,56,,female,0
Ting-Ting Lee,The Hong Kong University of Science and Technology,3,2,62,59,The Hong Kong University of Science and Technology,female,0
Subash Gautam,Tutor and Lab Demonstrator,2,2,62,40,,male,1
Hui-Shin Wong,Tunku Abdul Rahman University College,2,2,62,4,,male,1
Ayoung Cho,"PhD, University of Sangmyung",5,1,62,62,University of Sangmyung,female,0
Melinda McClure Haughey,University of Washington,4,1,62,62,University of Washington,female,0
Amr Gomaa,"German Research Center for Artificial Intelligence (DFKI) , Saarland Informatics Campus",5,3,62,62,,female,0
Hae-Na Lee,Michigan State University,5,1,62,62,Michigan State University,female,0
Deva Surya Vivek Madala,Ashoka University,3,1,62,60,Ashoka University,male,1
Taneea S Agrawaal,University of Toronto,2,2,62,59,University of Toronto,male,1
Darragh Higgins,"PhD Student, Trinity College Dublin",3,3,62,62,Trinity College,male,1
Deepak S. Surya,"Researcher, University of Toronto. Student, National Institute of Technology, Tiruchirappalli",5,2,62,62,"Researcher, University of Toronto",female,0
Na Li (Nicole),Pennsylvania State University,4,2,62,62,Pennsylvania State University,male,1
Hasan Mahmud Prottoy,"Ph.D. Student at University of Maryland, Baltimore County",3,2,62,62,University of Maryland,female,0
Saiying(Tina) Ge,University of Arizona,3,1,62,42,University of Arizona,female,0
Yiliu Tang,University of Illinois at Urbana-Champaign,3,2,62,62,University of Illinois,female,0
Libby Ferland,Ph.D. Candidate,5,1,62,46,,male,1
Klem Jankiewicz,Classiq Technologies,2,2,62,62,,male,1
Dishita G Turakhia,Massachusetts Institute of Technology,6,1,61,59,Massachusetts Institute of Technology,male,1
Emmanouil Potetsianakis,"Researcher, Media Standards & Technologies, Xiaomi",5,2,61,37,,female,0
Dhiraj Jadhav,"Assistant Professor of Computer Engineering, VIT, Pune, India",2,1,61,28,,female,0
Mariana Pinheiro,Master's Student in the Informatics Centre of Federal University of Pernambuco,4,2,61,30,the Informatics Centre of Federal University of Pernambuco,female,0
Patrick Sullivan,Virginia Tech,1,1,61,53,,male,1
Peihan Tu,"University of Maryland, College Park",5,2,61,60,University of Maryland,female,0
Hikmetcan Ozcan,Kocaeli Üniversitesi Dr. Öğr. Üyesi,4,2,61,56,,female,0
Mahesh Udayanga Liyanawatta,"Doctoral candidate & Research Assistant-Ph.D, National Central University, Taiwan (R.O.C)",4,2,61,60,National Central University,male,1
Feng Feng,IT University of Copenhagen,6,1,61,60,IT University of Copenhagen,male,1
Jacob Achtemeier,University of Minnesota,5,2,61,56,University of Minnesota,female,0
Md. Touhidur Rahman,Assistant Programmer,5,0,61,45,,female,0
Corey DC Heath,Arizona State University,4,3,61,60,Arizona State University,male,1
Jean Basset,Inria Bordeaux Sud Ouest,5,4,61,61,,female,0
Irina Lediaeva,"MS in Computer Science, University of Central Florida",4,1,61,61,University of Central Florida,male,1
Shreya Bali,"Student, School of Computer Science",1,1,61,60,School of Computer Science,male,1
Allen Lee,Massachusetts Institute of Technology,3,1,61,61,Massachusetts Institute of Technology,female,0
Man Wu,Tsinghua University,4,3,61,61,Tsinghua University,female,0
Seo Young Oh,KAIST UVR Lab.,4,3,61,58,,male,1
Nazish Basir,"Assistant Professor, Department of Information Technology, Faculty of Engineering and Technology, University of Sindh.",4,2,61,51,Faculty of Engineering and Technology,male,1
Maximilian Weiß,University of Stuttgart,3,3,61,61,University of Stuttgart,female,0
Lei Gao,University College London,3,2,61,61,University College,female,0
Garrett Allen,"Ph.D. Candidate, Delft University of Technology",5,2,61,61,Delft University of Technology,female,0
Yuan Gao,Kyoto University,5,3,61,61,Kyoto University,female,0
Ruchi Panchanadikar,"PhD Student, Clemson University",2,1,61,61,Clemson University,female,0
Vaughn Hamilton,Max Planck Institute for Software Systems,5,3,61,60,Max Planck Institute for Software Systems,female,0
Sushil Shrestha,"Researcher of Information Technology, Kathmandu University, Nepal",5,2,61,58,Kathmandu University,female,0
pelin arslan,"Post doctoral Associate, Comparative Media Studies, Massachusetts Institute of Technology",4,2,60,26,Massachusetts Institute of Technology,male,1
farshad daliri,"Master of Human-Computer Interaction, Carleton University",2,2,60,34,Carleton University,male,1
Antoine Ponsard,"MSc Student, University of British Columbia",3,2,60,47,University of British Columbia,female,0
Emi Iryanti,IT Telkom Purwokerto,5,2,60,52,,female,0
Chapwouo T. Landry D.,Université du Québec à Chicoutimi,4,1,60,41,,male,1
Christopher Kwan,Boston University,6,3,60,18,Boston University,female,0
Yhony Agus Setya Mahendra,STKIP PGRI Pacitan,3,2,60,47,,male,1
Sicheng Li,Auburn University,4,1,60,41,Auburn University,male,1
Sara Albakry,"PhD Candidate@TULIPS, ILCC, University of Edinburgh / TA@Computer Science, Umm Al-Qura University",2,1,60,60,University of Edinburgh / TA@Computer Science,female,0
Georg Hagemann,Ludwig Maximilians Universität München; University of British Columbia,4,3,60,59,University of British Columbia,male,1
Mehmet Ordu,"Georgia Tech, Bogazici University",2,1,60,35,Bogazici University,female,0
Gyeongbin Park,"Dept. of Interaction Science, Sungkyunkwan University",2,1,60,58,Sungkyunkwan University,female,0
Paul Remache,Universidad Tecnológica Indoamérica,4,2,60,60,,male,1
Luana Okino Sawada,"Ph.D. Student, School of Computing and Information Science, Florida International University",4,2,60,58,School of Computing and Information Science,male,1
Hao-Cheng Wang,National Taiwan University,3,1,60,60,National Taiwan University,female,0
Alok Debnath,"School of Computer Science and Statistics, Trinity College Dublin",5,2,60,59,School of Computer Science and Statistics,female,0
Charles Chuankai Zhang,University of Minnesota,5,4,60,59,University of Minnesota,male,1
Sander Staal,Research Assistant,6,2,60,56,,male,1
Danielle Oltman,McGill University,2,2,60,60,McGill University,female,0
Adam Jenkins,King's College London,4,3,60,60,King's College London,female,0
Indrajeet Ghosh,University of Maryland Baltimore County,4,3,60,60,University of Maryland,male,1
Jenny Han,Stanford University,3,2,60,60,Stanford University,male,1
Cindy Christensen,University of Porto,2,1,60,60,University of Porto,male,1
Muhammad Hussain,"University of York, UK",5,1,60,60,University of York,male,1
Kevin Weatherwax,"PhD Student, University of Santa Cruz California",5,4,60,60,University of Santa Cruz,female,0
Sara Bouguelia,LIRIS - Claude Bernard University Lyon 1,4,2,60,60,,female,0
Andreas Michelakis,Unknown affiliation,3,1,60,60,,female,0
Rachael Garrett,KTH Royal Institute of Technology,3,3,60,59,KTH Royal Institute of Technology,male,1
Chi Zhang,Swansea University,5,2,60,57,Swansea University,female,0
Sebastian Tamayo-Vegas,"PhD, Northumbria University",4,2,60,60,Northumbria University,male,1
Jay L. Cunningham,University of Washington,3,3,60,59,University of Washington,male,1
Yunjung Lee,Ewha Womans University,4,3,60,60,Ewha Womans University,female,0
Yichen Jia,"Product Designer II, Microsoft",3,1,60,60,,male,1
Bennett Huffman,NASA Jet Propulsion Laboratory,2,1,60,60,,female,0
Elham Al Qahtani,Universiy of Jeddah,4,1,60,59,,male,1
Tia Shelley,University of Illinois at Chicago,5,2,59,25,University of Illinois at Chicago,female,0
Samiul Alam Anik,"Graduate Student, University of Manitoba",1,1,59,23,University of Manitoba,male,1
Syed Asim Jalal,University of Peshawar Pakistan,5,1,59,30,University of Peshawar,male,1
Bushra Sadia,Koç University,4,3,59,52,Koç University,male,1
Demetris Kyriacou,"Special Teaching Scientist at UCY, CUT and EUC",4,2,59,6,,female,0
Anibal Vásquez Clad,Escuela Superior Politécnica del Litoral,2,1,59,29,,female,0
K Mahalakshmi,"Assistant Librarian,Avinashilingam Institute for HomeScience and Higher Education for Women",4,2,59,31,Avinashilingam Institute,female,0
Alma Cantu,Newcastle University,4,2,59,55,Newcastle University,female,0
Jingjin Li,Cornell University,4,2,59,59,Cornell University,male,1
Samuel Rhys Cox,Aalborg University,4,2,59,58,Aalborg University,female,0
Mashail N. Alkhomsan,"Lecturer, Jouf University",3,1,59,50,Jouf University,male,1
Erwan Normand,"PhD student - IRISA, Inria, Univ Rennes",1,1,59,59,,male,1
Mykyta Kovalenko,"Research associate, Fraunhofer HHI",4,2,59,48,,male,1
Hong Yan Jack Jeffrey,"Senior Lecturer, Product Design, School of Art, Design & Media, Nanyang Technological University",3,2,59,55,"School of Art, Design & Media",male,1
Zhongyi Zhou,"RIKEN, The University of Tokyo",4,2,59,59,The University of Tokyo,female,0
Giang V. Pham,University of Illinois at Urbana-Champaign,2,1,59,59,University of Illinois,male,1
Honson Ling,University of Washington,3,2,59,59,University of Washington,male,1
Sloke Shrestha,"MS student, University of Texas at Austin",3,1,59,59,University of Texas,male,1
Xiaoyi Tian,"Ph.D. Student, Computer & Information Science & Engineering, University of Florida",5,2,59,59,University of Florida,male,1
Aparna Sharma,University Of Southern California,3,1,59,59,University Of Southern California,male,1
Hui-Ru (Irene) Ho,University of Wisconsin-Madison,3,2,59,59,University of Wisconsin-Madison,female,0
Fedelis Brian Putra Prakasa,"Dosen Informatika, Universitas Atma Jaya Yogyakarta",5,2,59,58,,male,1
Hao Li,Stanford University,3,2,59,58,Stanford University,female,0
